time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,station,latitude,longitude,elevation
2024-01-01,26.4,22.5,32.5,9.9,,12.0,1.9,,1011.5,,81985,-9.1081,-45.9319,281.0
2024-01-01,26.3,22.2,33.6,3.1,,293.0,5.8,,1011.1,,81986,-9.8747,-45.3464,425.0
2024-01-01,25.8,21.2,33.1,10.1,,34.0,4.2,,1011.8,,81987,-9.0833,-44.3264,297.0
2024-01-01,24.5,21.9,27.4,9.7,,14.0,2.0,,1012.5,,81988,-9.2861,-43.3244,523.0
2024-01-01,25.6,22.1,29.9,19.2,,263.0,6.1,,1012.0,,81989,-9.0331,-42.7006,402.0
2024-01-01,27.0,22.5,31.5,7.0,,335.0,9.2,,1011.3,,81990,-9.6189,-42.0831,401.0
2024-01-01,28.0,23.2,32.5,3.3,,320.0,6.7,,1011.4,,81991,-9.3833,-40.8,371.0
2024-01-01,27.9,22.5,33.6,9.6,,25.0,11.6,,1012.0,,81992,-9.8336,-39.4956,453.0
2024-01-01,30.8,25.7,37.7,0.3,,131.0,7.8,,1011.4,,81994,-9.7658,-37.4478,19.0
2024-01-01,28.4,24.1,35.2,1.0,,70.0,9.7,,1012.0,,81995,-9.4206,-36.6203,275.0
2024-01-01,27.8,23.1,35.5,0.2,,99.0,8.9,,1012.3,,81996,-9.8042,-36.6189,241.0
2024-01-01,27.4,23.5,32.0,1.3,,59.0,8.3,,1012.6,,81997,-9.2875,-35.5658,19.0
2024-01-01,27.5,24.0,31.5,0.6,,62.0,10.2,,1012.9,,81998,-9.5511,-35.77,65.0
2024-01-01,26.8,22.0,32.0,0.2,,26.0,7.6,,1012.1,,82017,3.8333,-51.8333,39.0
2024-01-01,29.9,25.0,35.0,0.0,,77.0,20.7,29.6,1011.0,,82022,2.8333,-60.7,84.0
2024-01-01,29.0,24.9,35.8,0.0,,40.0,9.6,,1010.2,,82042,1.8333,-61.1333,95.0
2024-01-01,29.8,26.8,35.0,6.7,,36.0,8.0,,1011.0,,82098,0.0333,-50.05,15.0
2024-01-01,27.3,25.1,30.7,,,47.0,9.7,48.2,1012.0,,82099,0.05,-51.0667,16.0
2024-01-01,27.0,24.5,32.0,10.8,,168.0,4.6,,1010.5,,82106,-0.1333,-67.0833,90.0
2024-01-01,27.5,24.0,32.0,7.1,,53.0,3.5,,1010.7,,82111,-3.0333,-60.05,2.0
2024-01-01,28.3,25.0,32.1,1.7,,118.0,6.5,,1010.1,,82113,-0.9833,-62.5833,40.0
2024-01-01,26.0,23.2,29.2,13.3,,28.0,10.9,,1012.0,,82141,-0.6667,-48.55,11.0
2024-01-01,27.1,25.4,30.0,3.5,,47.0,16.2,,1011.9,,82143,-0.6167,-47.3833,25.0
2024-01-01,26.2,23.1,31.7,2.3,,26.0,5.7,,1012.0,,82145,-1.0833,-46.9333,36.0
2024-01-01,27.7,23.4,32.3,9.6,,65.0,12.5,,1011.1,,82181,-2.0,-54.0833,146.0
2024-01-01,27.0,24.1,30.3,4.6,,58.0,9.5,,1011.5,,82184,-1.7333,-52.2333,17.0
2024-01-01,26.4,24.8,28.1,,,55.0,9.5,,1012.2,,82191,-1.45,-48.4667,10.0
2024-01-01,26.8,23.6,31.2,0.0,,345.0,6.5,,1011.9,,82193,-1.3833,-48.4833,16.0
2024-01-01,25.6,23.0,30.6,18.0,,57.0,7.1,,1012.3,,82198,-1.7167,-45.4,44.0
2024-01-01,26.7,24.7,30.2,7.1,,99.0,5.4,,1010.7,,82212,-2.5333,-66.1667,55.0
2024-01-01,27.6,24.8,32.5,,,175.0,6.5,31.5,1011.1,,82240,-2.6333,-56.7333,29.0
2024-01-01,29.9,26.0,34.0,1.1,,97.0,11.6,31.5,1010.4,,82244,-2.4333,-54.7167,72.0
2024-01-01,28.2,25.4,31.3,1.4,,56.0,12.6,,1010.7,,82246,-2.6333,-54.95,176.0
